"NO","PACKAGING TYPE","PO NO.","ITEM NO.","BRAND","BATERY TYPE","CELL GRADE","ITEM REMARK 1","REMARK","DESTINATION","ORDER QTY","CR DATE","CURRENCY","PRICE","SALES AMOUNT","CR MONTH","SALES MONTH","TERM","STANDARD PRICE","STOCK WAREHOUSE","STOCK IN TRANSIT","JAN QTY","JAN AMT","FEB QTY","FEB AMT","MAR QTY","MAR AMT","APR QTY","APR AMT","MAY QTY","MAY AMT","JUN QTY","JUN AMT","JUL QTY","JUL AMT","AUG QTY","AUG AMT","SEP QTY","SEP AMT","OCT QTY","OCT AMT","NOV AMT","NOV AMT","DES AMT","DES AMT"
"28","MANUAL SHRINK LR03 (2S) FU INSP","'18FI013","23545","MITSUBISHI G YED LR03 2S","LR03","C1","06. MITSUBISHI","FDK E - MITSUBISHI GE","0","90600","20-APR-18","US$","0.0883","7999.98","4","4","FOB","0","0","0","0","0","0","0","0","0","0","0","90,600","8,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","MANUAL SHRINK LR03 (2S) FU INSP","'18FI006","23545","MITSUBISHI G YED LR03 2S","LR03","C1","06. MITSUBISHI","FDK E - MITSUBISHI GE","0","60600","28-MAR-18","US$","0.0883","5350.98","3","4","FOB","0","60,600","0","0","0","0","0","60,600","5,351","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","MANUAL SHRINK LR03 (2S) FU INSP","'EI18-001","23546","MITSUBISHI G YED LR03 2S V2","LR03","C1","06. MITSUBISHI","FDK E - MITSUBISHI GD","0","200400","15-FEB-18","US$","0.0855","17134.2","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","MANUAL SHRINK LR03 (2S) FU INSP","'EI18-002","23546","MITSUBISHI G YED LR03 2S V2","LR03","C1","06. MITSUBISHI","FDK E - MITSUBISHI THAI","0","200400","22-FEB-18","US$","0.0855","17134.2","2","2","FOB","0","0","0","0","0","0","0","27,600","2,360","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","MANUAL SHRINK LR03 (2S) FU INSP","'EI18-006","23546","MITSUBISHI G YED LR03 2S V2","LR03","C1","06. MITSUBISHI","FDK E - MITSUBISHI THAI","0","200400","09-MAR-18","US$","0.0855","17134.2","3","3","FOB","0","0","0","0","0","0","0","200,400","17,134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","MANUAL SHRINK LR03 (2S) FU INSP","'EI18-023","23546","MITSUBISHI G YED LR03 2S V2","LR03","C1","06. MITSUBISHI","FDK E - MITSUBISHI THAI","0","200400","22-MAR-18","US$","0.0855","17134.2","3","3","FOB","0","0","0","0","0","0","0","200,400","17,134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","MANUAL SHRINK LR03 (2S) FU INSP","'EI18-059","23546","MITSUBISHI G YED LR03 2S V2","LR03","C1","06. MITSUBISHI","FDK E - MITSUBISHI THAI","0","200400","15-MAY-18","US$","0.0855","17134.2","5","5","FOB","0","0","0","0","0","0","0","0","0","0","0","200,400","17,134","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","MANUAL SHRINK LR03 (2S) FU INSP","'EI18-044","23546","MITSUBISHI G YED LR03 2S V2","LR03","C1","06. MITSUBISHI","FDK E - MITSUBISHI THAI","0","200400","13-APR-18","US$","0.0855","17134.2","4","4","FOB","0","0","0","0","0","0","0","0","0","200,400","17,134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","MANUAL SHRINK LR03 (2S) FU INSP","'18FI004","30463","MITSUBISHI GD LR03 2S NBC","LR03","C1","06. MITSUBISHI","FDK E - MITSUBISHI GD","0","8400","15-FEB-18","US$","0.1028","863.52","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","MANUAL SHRINK LR03 (2S) FU INSP","'18FI010","30463","MITSUBISHI GD LR03 2S NBC","LR03","C1","06. MITSUBISHI","FDK E - MITSUBISHI GD","0","20400","15-MAR-18","US$","0.1028","2097.12","3","3","FOB","0","0","0","0","0","0","0","20,400","2,097","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","MANUAL SHRINK LR1 (1S)","'FITK/18-015","66240","FJ RSPEC JEE LR03 1S","LR03","C1","03. Domestic B to B","DOMESTIC OEM - KAIJIRUSI","0","72000","15-FEB-18","US$","0.106","7632","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","MANUAL SHRINK LR1 (1S)","'FITK/18-019","66240","FJ RSPEC JEE LR03 1S","LR03","C1","03. Domestic B to B","DOMESTIC OEM - KAIJIRUSI","0","72000","15-MAR-18","US$","0.106","7632","3","3","FOB","0","0","0","0","0","0","0","72,000","7,632","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","MANUAL SHRINK LR1 (1S)","'FITK/18-052","66240","FJ RSPEC JEE LR03 1S","LR03","C1","03. Domestic B to B","DOMESTIC OEM - KAIJIRUSI","0","36000","31-MAY-18","US$","0.106","3816","5","6","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","36,000","3,816","0","0","0","0","0","0","0","0","0","0","0","0"
"41","MANUAL SHRINK LR1 (1S)","'FITK/18-051","66240","FJ RSPEC JEE LR03 1S","LR03","C1","03. Domestic B to B","DOMESTIC OEM - KAIJIRUSI","0","36000","10-MAY-18","US$","0.106","3816","5","5","FOB","0","0","0","0","0","0","0","0","0","0","0","36,000","3,816","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
